puzzle_id,n,t,d,markov_entropy,pattern_score
639,3,4,10,0.0,1.0
640,7,5,13,0.0,1.0
641,7,2,4,0.0,1.0
642,6,7,16,0.0,1.0
643,4,7,15,2.0,0.1386468838532139
644,8,3,5,0.0,1.0
645,3,3,8,0.0,1.0
646,7,5,10,0.0,1.0
647,7,5,11,0.0,1.0
648,4,4,9,0.0,1.0
649,3,7,18,0.0,1.0
650,6,4,5,0.0,1.0
651,7,1,1,0.0,1.0
652,5,4,9,0.0,1.0
653,6,5,11,0.0,1.0
654,6,2,6,0.0,1.0
655,3,2,4,0.0,1.0
656,4,7,16,1.0,0.36907024642854247
657,3,3,8,0.0,1.0
658,8,4,11,0.0,1.0
659,6,6,15,0.0,1.0
660,7,7,15,0.0,1.0
661,3,4,11,0.0,1.0
662,7,5,10,0.0,1.0
663,7,2,4,0.0,1.0
664,4,5,14,0.0,1.0
665,3,6,15,0.0,1.0
666,2,3,4,0.0,1.0
667,9,3,7,0.0,1.0
668,6,7,15,0.0,1.0
669,4,5,12,0.0,1.0
670,2,2,4,0.0,1.0
671,4,2,4,0.0,1.0
672,5,7,18,0.0,1.0
673,5,4,9,0.0,1.0
674,6,1,3,0.0,1.0
675,4,7,22,0.0,1.0
676,6,6,17,0.0,1.0
677,7,5,15,0.0,1.0
678,5,6,15,1.0,0.36907024642854247
679,2,3,8,0.0,1.0
680,5,5,14,0.0,1.0
681,5,5,11,0.0,1.0
682,6,1,4,0.0,1.0
683,5,5,14,0.0,1.0
684,6,2,3,1.0,0.36907024642854247
685,3,5,13,0.0,1.0
686,2,4,10,1.0,0.36907024642854247
687,2,1,2,0.0,1.0
688,7,6,16,0.0,1.0
689,4,6,14,0.0,1.0
690,3,4,10,0.0,1.0
691,2,7,19,0.0,1.0
692,3,1,1,0.0,1.0
693,2,1,2,0.0,1.0
694,4,6,14,0.0,1.0
695,8,5,13,0.9182958340544896,0.5408520829727552
696,5,1,1,0.0,1.0
697,7,1,4,0.0,1.0
698,9,4,9,0.0,1.0
699,3,4,10,0.0,1.0
700,6,1,1,0.0,1.0
701,5,2,7,0.0,1.0
702,6,4,8,0.0,1.0
703,6,1,1,0.0,1.0
704,1,7,17,0.0,1.0
705,9,2,2,0.0,1.0
706,8,3,7,0.0,1.0
707,4,5,12,0.0,1.0
708,7,6,14,0.0,1.0
709,8,3,4,0.0,1.0
710,3,1,1,0.0,1.0
711,4,5,6,0.0,1.0
712,5,6,18,1.0,0.36907024642854247
713,3,2,4,0.0,1.0
714,4,4,10,0.0,1.0
715,6,3,9,1.0,0.36907024642854247
716,6,1,4,0.0,1.0
717,3,5,12,0.0,1.0
718,1,4,7,0.0,1.0
719,6,2,7,0.0,1.0
720,1,7,17,0.0,1.0
721,6,7,14,1.0,0.36907024642854247
722,7,2,3,0.0,1.0
723,6,3,7,0.0,1.0
724,3,3,8,0.0,1.0
725,7,3,7,0.0,1.0
726,4,4,11,0.0,1.0
727,4,1,4,0.0,1.0
728,5,4,9,0.0,1.0
729,5,4,12,0.0,1.0
730,4,4,12,0.0,1.0
731,6,5,13,0.0,1.0
732,2,7,17,1.584962500721156,0.20751874963942196
733,6,7,17,0.0,1.0
734,7,7,20,0.0,1.0
735,3,3,7,0.0,1.0
736,5,2,6,0.0,1.0
737,8,3,12,0.0,1.0
738,4,3,6,0.0,1.0
739,3,4,9,0.0,1.0
740,5,7,16,0.0,1.0
741,5,5,12,0.0,1.0
742,4,1,3,0.0,1.0
743,8,3,5,0.0,1.0
744,9,4,10,0.0,1.0
745,3,6,15,2.0,0.1386468838532139
746,6,5,13,0.0,1.0
747,1,5,16,0.0,1.0
748,4,6,17,0.0,1.0
749,4,4,12,0.0,1.0
750,3,3,3,0.0,1.0
751,6,1,1,0.0,1.0
752,10,4,6,1.0,0.36907024642854247
753,5,5,14,0.0,1.0
754,6,7,20,0.0,1.0
755,5,2,2,0.0,1.0
756,7,6,14,0.0,1.0
757,6,4,7,0.0,1.0
758,4,7,16,0.0,1.0
759,6,2,6,0.0,1.0
760,5,5,11,0.0,1.0
761,4,1,3,0.0,1.0
762,4,4,10,0.0,1.0
763,6,4,10,0.0,1.0
764,5,4,9,0.0,1.0
765,5,3,11,0.0,1.0
766,3,2,4,0.0,1.0
767,8,3,7,0.0,1.0
768,8,6,15,0.0,1.0
769,3,3,8,0.0,1.0
770,6,5,15,0.0,1.0
771,9,6,14,0.0,1.0
772,5,1,1,0.0,1.0
773,4,7,17,0.0,1.0
774,3,2,8,0.0,1.0
775,7,5,11,0.0,1.0
776,9,5,13,0.0,1.0
777,2,5,13,0.0,1.0
778,6,1,2,0.0,1.0
779,7,7,21,0.0,1.0
780,6,5,12,0.0,1.0
781,7,4,8,0.0,1.0
782,6,5,13,0.0,1.0
783,5,6,14,0.0,1.0
784,6,2,2,0.0,1.0
785,9,5,12,0.0,1.0
786,6,4,10,0.0,1.0
787,3,6,13,0.0,1.0
788,6,3,4,0.0,1.0
789,5,7,15,0.0,1.0
790,7,5,14,0.0,1.0
791,8,6,15,0.0,1.0
792,9,2,6,0.0,1.0
793,8,7,20,0.0,1.0
794,5,3,9,0.0,1.0
795,3,7,14,0.0,1.0
796,5,2,6,0.0,1.0
797,5,2,6,0.0,1.0
798,5,4,8,0.0,1.0
799,3,5,13,0.0,1.0
800,6,7,12,0.0,1.0
801,6,6,15,0.0,1.0
802,7,2,8,0.0,1.0
803,6,4,12,0.0,1.0
804,6,2,2,0.0,1.0
805,5,5,11,1.0,0.36907024642854247
806,4,5,13,1.584962500721156,0.20751874963942196
807,8,7,19,0.0,1.0
808,1,2,3,0.0,1.0
809,10,1,3,0.0,1.0
810,5,6,13,0.0,1.0
811,4,5,11,1.0,0.36907024642854247
812,6,6,16,2.0,0.1386468838532139
813,6,3,4,1.0,0.36907024642854247
814,8,3,8,0.0,1.0
815,10,6,18,0.0,1.0
816,5,1,4,0.0,1.0
817,4,1,2,0.0,1.0
818,8,3,10,0.0,1.0
819,6,4,14,0.0,1.0
820,6,4,10,0.0,1.0
821,5,4,9,1.0,0.36907024642854247
822,8,4,11,0.0,1.0
823,7,3,7,0.0,1.0
824,4,4,9,1.0,0.36907024642854247
825,4,4,8,1.5219280948873621,0.4112378440837061
826,7,5,10,0.0,1.0
827,2,6,12,0.0,1.0
828,6,3,8,0.0,1.0
829,9,4,14,0.0,1.0
830,3,4,13,0.0,1.0
831,7,3,8,0.0,1.0
832,3,2,2,0.0,1.0
833,6,4,11,1.0,0.36907024642854247
834,4,1,1,0.0,1.0
835,6,2,6,0.0,1.0
836,6,4,8,0.0,1.0
837,9,3,9,0.0,1.0
838,6,4,12,0.0,1.0
839,3,3,6,1.0,0.36907024642854247
840,4,1,2,0.0,1.0
841,5,6,15,1.0,0.36907024642854247
842,5,5,12,0.0,1.0
843,4,5,12,0.0,1.0
844,7,3,10,0.0,1.0
845,6,3,5,0.0,1.0
846,3,5,18,0.0,1.0
847,3,1,1,0.0,1.0
848,7,4,9,0.0,1.0
849,5,4,13,0.0,1.0
850,5,7,16,2.0,0.1386468838532139
851,7,7,17,0.0,1.0
852,5,5,11,1.0,0.36907024642854247
853,6,4,9,0.0,1.0
854,4,5,11,0.0,1.0
855,10,1,3,0.0,1.0
856,8,5,9,0.0,1.0
